state,senate,house
Alabama,Republican,Republican
Alaska,Republican,Split
Arizona,Republican,Republican
Arkansas,Republican,Republican
California,Democratic,Democratic
Colorado,Democratic,Democratic
Connecticut,Democratic,Democratic
Delaware,Democratic,Democratic
Florida,Republican,Republican
Georgia,Republican,Republican
Hawaii,Democratic,Democratic
Idaho,Republican,Republican
Illinois,Democratic,Democratic
Indiana,Republican,Republican
Iowa,Republican,Republican
Kansas,Republican,Republican
Kentucky,Republican,Republican
Louisiana,Republican,Republican
Maine,Democratic,Democratic
Maryland,Democratic,Democratic
Massachusetts,Democratic,Democratic
Michigan,Republican,Republican
Minnesota,Republican,Democratic
Mississippi,Republican,Republican
Missouri,Republican,Republican
Montana,Republican,Republican
Nebraska,Republican,Republican
Nevada,Democratic,Democratic
New Hampshire,Republican,Republican
New Jersey,Democratic,Democratic
New Mexico,Democratic,Democratic
New York,Democratic,Democratic
North Carolina,Republican,Republican
North Dakota,Republican,Republican
Ohio,Republican,Republican
Oklahoma,Republican,Republican
Oregon,Democratic,Democratic
Pennsylvania,Republican,Republican
Rhode Island,Democratic,Democratic
South Carolina,Republican,Republican
South Dakota,Republican,Republican
Tennessee,Republican,Republican
Texas,Republican,Republican
Utah,Republican,Republican
Vermont,Democratic,Democratic
Virginia,Democratic,Democratic
Washington,Democratic,Democratic
West Virginia,Republican,Republican
Wisconsin,Republican,Republican
Wyoming,Republican,Republican
